id_treatment,id_picture,date,area_size
10,7,2025-07-09T00:00:00Z,0.64
10,8,2025-07-16T00:00:00Z,16.402
10,9,2025-07-23T00:00:00Z,21.902
11,1,2025-07-09T00:00:00Z,0.634
11,2,2025-07-16T00:00:00Z,16.04
11,3,2025-07-23T00:00:00Z,20.912
12,4,2025-07-09T00:00:00Z,0.633
12,5,2025-07-16T00:00:00Z,13
12,6,2025-07-23T00:00:00Z,17.2
13,10,2025-07-09T00:00:00Z,0.695
13,11,2025-07-16T00:00:00Z,36.566
13,12,2025-07-23T00:00:00Z,47.514
14,13,2025-07-09T00:00:00Z,0.641
14,14,2025-07-16T00:00:00Z,48.35
14,15,2025-07-23T00:00:00Z,52.25
15,16,2025-07-09T00:00:00Z,0.642
15,17,2025-07-16T00:00:00Z,39.99
15,18,2025-07-23T00:00:00Z,45.52
16,19,2025-07-09T00:00:00Z,0.653
16,20,2025-07-16T00:00:00Z,0.653
16,21,2025-07-23T00:00:00Z,0.653
17,22,2025-07-09T00:00:00Z,0.7
17,23,2025-07-16T00:00:00Z,0.7
17,24,2025-07-23T00:00:00Z,0.7
18,25,2025-07-09T00:00:00Z,0.711
18,26,2025-07-16T00:00:00Z,0.711
18,27,2025-07-23T00:00:00Z,0.711
19,28,2025-07-10T00:00:00Z,0.653
19,29,2025-07-17T00:00:00Z,23.688
19,30,2025-07-24T00:00:00Z,42.45
20,31,2025-07-10T00:00:00Z,0.691
20,32,2025-07-17T00:00:00Z,22.323
20,33,2025-07-24T00:00:00Z,43.969
21,34,2025-07-10T00:00:00Z,0.821
21,35,2025-07-17T00:00:00Z,24.723
21,36,2025-07-24T00:00:00Z,43.687
22,37,2025-07-10T00:00:00Z,0.745
22,38,2025-07-17T00:00:00Z,29.194
22,39,2025-07-24T00:00:00Z,59.747
23,40,2025-07-10T00:00:00Z,0.648
23,41,2025-07-17T00:00:00Z,33.704
23,42,2025-07-24T00:00:00Z,60.544
24,43,2025-07-10T00:00:00Z,0.755
24,44,2025-07-17T00:00:00Z,30.47
24,45,2025-07-24T00:00:00Z,59.38
25,46,2025-07-10T00:00:00Z,0.787
25,47,2025-07-17T00:00:00Z,0.787
25,48,2025-07-24T00:00:00Z,0.787
26,49,2025-07-10T00:00:00Z,0.655
26,50,2025-07-17T00:00:00Z,0.655
26,51,2025-07-24T00:00:00Z,0.655
27,52,2025-07-10T00:00:00Z,0.675
27,53,2025-07-17T00:00:00Z,0.675
27,54,2025-07-24T00:00:00Z,0.675
28,55,2025-07-10T00:00:00Z,0.669
28,56,2025-07-17T00:00:00Z,0.669
28,57,2025-07-24T00:00:00Z,0.669
29,58,2025-07-10T00:00:00Z,0.704
29,59,2025-07-17T00:00:00Z,0.704
29,60,2025-07-24T00:00:00Z,0.704
30,61,2025-07-10T00:00:00Z,0.646
30,62,2025-07-17T00:00:00Z,0.646
30,63,2025-07-24T00:00:00Z,0.646
31,64,2025-07-10T00:00:00Z,0.83
31,65,2025-07-17T00:00:00Z,0.83
31,66,2025-07-24T00:00:00Z,0.83
32,67,2025-07-15T00:00:00Z,0.644
32,68,2025-07-22T00:00:00Z,6.874
32,69,2025-07-29T00:00:00Z,9.803
33,70,2025-07-15T00:00:00Z,0.653
33,71,2025-07-22T00:00:00Z,7.317
33,72,2025-07-29T00:00:00Z,10.522
34,73,2025-07-15T00:00:00Z,0.627
34,74,2025-07-22T00:00:00Z,3.645
34,75,2025-07-29T00:00:00Z,4.833
35,76,2025-07-15T00:00:00Z,0.77
35,77,2025-07-22T00:00:00Z,13.64
35,78,2025-07-29T00:00:00Z,13.826
36,79,2025-07-15T00:00:00Z,0.508
36,80,2025-07-22T00:00:00Z,9.279
36,81,2025-07-29T00:00:00Z,12.142
37,82,2025-07-15T00:00:00Z,0.59
37,83,2025-07-22T00:00:00Z,1.541
37,84,2025-07-29T00:00:00Z,1.494
38,85,2025-07-15T00:00:00Z,0.512
38,86,2025-07-22T00:00:00Z,0.512
38,87,2025-07-29T00:00:00Z,0.512
39,88,2025-07-15T00:00:00Z,0.503
39,89,2025-07-22T00:00:00Z,0.503
39,90,2025-07-29T00:00:00Z,0.503
40,91,2025-07-15T00:00:00Z,0.484
40,92,2025-07-22T00:00:00Z,0.484
40,93,2025-07-29T00:00:00Z,0.484
41,94,2025-07-15T00:00:00Z,0.658
41,97,2025-07-15T00:00:00Z,0.661
41,95,2025-07-22T00:00:00Z,1.067
41,98,2025-07-22T00:00:00Z,1.235
41,96,2025-07-29T00:00:00Z,1.236
41,99,2025-07-29T00:00:00Z,1.037
42,100,2025-07-15T00:00:00Z,0.667
42,101,2025-07-22T00:00:00Z,0.798
42,102,2025-07-29T00:00:00Z,0.813
43,103,2025-07-22T00:00:00Z,0.725
43,104,2025-07-29T00:00:00Z,0.725
43,105,2025-08-05T00:00:00Z,0.725
44,106,2025-07-22T00:00:00Z,0.756
44,107,2025-07-29T00:00:00Z,1.165
44,108,2025-08-05T00:00:00Z,7.493
45,109,2025-07-22T00:00:00Z,0.781
45,110,2025-07-29T00:00:00Z,0.907
45,111,2025-08-05T00:00:00Z,1.206
46,112,2025-07-22T00:00:00Z,0.651
46,113,2025-07-29T00:00:00Z,2.545
46,114,2025-08-05T00:00:00Z,12.513
47,115,2025-07-22T00:00:00Z,0.728
47,116,2025-07-29T00:00:00Z,0.728
47,117,2025-08-05T00:00:00Z,0.728
48,118,2025-07-22T00:00:00Z,0.649
48,119,2025-07-29T00:00:00Z,2.471
48,120,2025-08-05T00:00:00Z,2.471
49,121,2025-07-22T00:00:00Z,0.625
49,122,2025-07-29T00:00:00Z,3.096
49,123,2025-08-05T00:00:00Z,4.491
50,124,2025-07-22T00:00:00Z,0.64
50,125,2025-07-29T00:00:00Z,3.363
50,126,2025-08-05T00:00:00Z,5.014
51,127,2025-07-22T00:00:00Z,0.662
51,128,2025-07-29T00:00:00Z,4.314
51,129,2025-08-05T00:00:00Z,4.314
52,130,2025-07-22T00:00:00Z,0.667
52,131,2025-07-29T00:00:00Z,0.667
52,132,2025-08-05T00:00:00Z,0.667
53,133,2025-07-22T00:00:00Z,0.68
53,134,2025-07-29T00:00:00Z,0.68
53,135,2025-08-05T00:00:00Z,0.68
54,136,2025-07-22T00:00:00Z,0.55
54,137,2025-07-29T00:00:00Z,0.55
54,138,2025-08-05T00:00:00Z,0.55
55,139,2025-07-22T00:00:00Z,0.694
55,140,2025-07-29T00:00:00Z,1.218
55,141,2025-08-05T00:00:00Z,0.694
56,142,2025-07-22T00:00:00Z,0.777
56,143,2025-07-29T00:00:00Z,0.707
56,144,2025-08-05T00:00:00Z,0.835
57,145,2025-07-22T00:00:00Z,0.68
57,146,2025-07-29T00:00:00Z,1.469
57,147,2025-08-05T00:00:00Z,1.284
58,148,2025-07-22T00:00:00Z,0.535
58,149,2025-07-29T00:00:00Z,0.561
58,150,2025-08-05T00:00:00Z,0.519
59,151,2025-07-22T00:00:00Z,0.564
59,152,2025-07-29T00:00:00Z,0.564
59,153,2025-08-05T00:00:00Z,0.564
60,154,2025-07-22T00:00:00Z,0.655
60,155,2025-07-29T00:00:00Z,0.645
60,156,2025-08-05T00:00:00Z,0.598
61,157,2025-07-22T00:00:00Z,0.788
61,158,2025-07-29T00:00:00Z,2.895
61,159,2025-08-05T00:00:00Z,2.97
62,160,2025-07-22T00:00:00Z,0.707
62,161,2025-07-29T00:00:00Z,2.923
62,162,2025-08-05T00:00:00Z,3.601
63,163,2025-07-24T00:00:00Z,0.749
63,164,2025-08-07T00:00:00Z,NA
64,165,2025-07-24T00:00:00Z,0.762
64,166,2025-08-07T00:00:00Z,NA
65,167,2025-07-24T00:00:00Z,0.748
65,168,2025-08-07T00:00:00Z,NA
66,169,2025-07-24T00:00:00Z,0.68
66,170,2025-08-07T00:00:00Z,NA
67,171,2025-07-24T00:00:00Z,0.767
67,172,2025-08-07T00:00:00Z,NA
68,173,2025-07-24T00:00:00Z,0.754
68,174,2025-08-07T00:00:00Z,NA
69,175,2025-07-24T00:00:00Z,0.721
69,176,2025-08-07T00:00:00Z,NA
70,177,2025-07-24T00:00:00Z,0.691
70,178,2025-08-07T00:00:00Z,NA
71,179,2025-07-24T00:00:00Z,0.828
71,180,2025-08-07T00:00:00Z,NA
72,181,2025-07-24T00:00:00Z,0.85
72,182,2025-08-07T00:00:00Z,NA
73,183,2025-07-24T00:00:00Z,0.852
73,184,2025-08-07T00:00:00Z,NA
74,185,2025-07-24T00:00:00Z,0.707
74,186,2025-08-07T00:00:00Z,NA
75,187,2025-08-05T00:00:00Z,0.648
75,188,2025-08-12T00:00:00Z,NA
75,189,2025-08-19T00:00:00Z,NA
76,190,2025-08-05T00:00:00Z,0.731
76,191,2025-08-12T00:00:00Z,NA
76,192,2025-08-19T00:00:00Z,NA
77,193,2025-08-05T00:00:00Z,0.752
77,194,2025-08-12T00:00:00Z,NA
77,195,2025-08-19T00:00:00Z,NA
78,196,2025-08-05T00:00:00Z,0.77
78,197,2025-08-12T00:00:00Z,NA
78,198,2025-08-19T00:00:00Z,NA
79,199,2025-08-05T00:00:00Z,1.074
79,200,2025-08-12T00:00:00Z,NA
79,201,2025-08-19T00:00:00Z,NA
80,202,2025-08-05T00:00:00Z,0.903
80,203,2025-08-12T00:00:00Z,NA
80,204,2025-08-19T00:00:00Z,NA
81,205,2025-08-05T00:00:00Z,0.715
81,206,2025-08-12T00:00:00Z,NA
81,207,2025-08-19T00:00:00Z,NA
82,208,2025-08-05T00:00:00Z,0.884
82,209,2025-08-12T00:00:00Z,NA
82,210,2025-08-19T00:00:00Z,NA
83,211,2025-08-05T00:00:00Z,0.684
83,212,2025-08-12T00:00:00Z,NA
83,213,2025-08-19T00:00:00Z,NA
84,214,2025-08-05T00:00:00Z,0.67
84,215,2025-08-12T00:00:00Z,NA
84,216,2025-08-19T00:00:00Z,NA
85,217,2025-08-05T00:00:00Z,0.674
85,218,2025-08-12T00:00:00Z,NA
85,219,2025-08-19T00:00:00Z,NA
86,220,2025-08-05T00:00:00Z,0.773
86,221,2025-08-12T00:00:00Z,NA
86,222,2025-08-19T00:00:00Z,NA
87,223,2025-08-05T00:00:00Z,0.727
87,224,2025-08-12T00:00:00Z,NA
87,225,2025-08-19T00:00:00Z,NA
88,226,2025-08-05T00:00:00Z,0.752
88,227,2025-08-12T00:00:00Z,NA
88,228,2025-08-19T00:00:00Z,NA
89,229,2025-08-05T00:00:00Z,0.616
89,230,2025-08-12T00:00:00Z,NA
89,231,2025-08-19T00:00:00Z,NA
90,232,2025-08-05T00:00:00Z,0.651
90,233,2025-08-12T00:00:00Z,NA
90,234,2025-08-19T00:00:00Z,NA
91,235,2025-08-05T00:00:00Z,0.713
91,236,2025-08-12T00:00:00Z,NA
91,237,2025-08-19T00:00:00Z,NA
92,238,2025-08-05T00:00:00Z,0.661
92,239,2025-08-12T00:00:00Z,NA
92,240,2025-08-19T00:00:00Z,NA
93,241,2025-08-05T00:00:00Z,0.738
93,242,2025-08-12T00:00:00Z,NA
93,243,2025-08-19T00:00:00Z,NA
94,244,2025-08-05T00:00:00Z,0.738
94,245,2025-08-12T00:00:00Z,NA
94,246,2025-08-19T00:00:00Z,NA
95,247,2025-08-05T00:00:00Z,0.742
95,248,2025-08-12T00:00:00Z,NA
95,249,2025-08-19T00:00:00Z,NA
96,250,2025-08-05T00:00:00Z,0.73
96,251,2025-08-12T00:00:00Z,NA
96,252,2025-08-19T00:00:00Z,NA
97,253,2025-08-05T00:00:00Z,0.69
97,254,2025-08-12T00:00:00Z,NA
97,255,2025-08-19T00:00:00Z,NA
