"id_treatment","area_size_7dpi","area_size_14dpi","contamination_area_7dpi","contamination_area_14dpi","growth_description_7dpi","growth_description_14dpi"
1,0.64,0.64,4.742,6.679,0,0
2,0.64,0.64,57.74,63.617,0,0
3,0.77,0.77,0,0,0,0
4,63.62,63.617,0,0,3,3
5,63.617,63.617,0,0,3,3
6,63.617,63.617,0,0,3,3
7,63.617,63.617,0,0,3,3
8,63.617,63.617,0,0,3,4
9,63.617,63.617,0,13.039,3,3
10,4.938,4.938,42.901,63.617,3,3
11,32.306,63.617,0,0,3,3
12,43.321,63.617,0,0,3,3
13,0.78,0.78,0,0,0,0
14,0.7,0.7,0,0,0,0
15,0.7,0.7,0,0,0,0
16,6.21,6.21,63.617,63.617,5,5
17,16.148,53.03,0,0,5,5
18,5.271,5.271,63.617,63.617,5,5
19,19.101,19.101,44.516,44.516,3,3
20,12.05,12.05,51.567,51.567,4,4
21,63.62,63.62,0,0,4,4
22,0.917,0.917,0,0,0,0
23,0.678,0.678,0,0,0,0
24,0.691,0.691,0,0,0,0
25,63.617,63.617,0,0,3,4
26,63.617,63.617,0,0,3,4
27,58.648,63.617,0,0,3,4
28,52.415,63.617,0,0,3,3
29,63.617,63.617,0,0,3,4
30,63.617,63.617,0,0,3,3
31,63.617,63.62,0,0,4,2
32,63.617,63.617,0,0,4,2
33,63.617,63.62,0,0,3,2
34,15.409,63.62,0,0,5,5
35,0.781,0.781,0,0,0,0
36,9.691,63.62,0,0,5,5
37,15.044,47.284,0,0,5,5
38,7.862,7.862,55.758,55.758,3,3
39,15.089,41.221,0,0,5,5
40,19.814,19.814,43.806,43.806,3,3
41,53.917,63.62,0,0,3,3
42,10.67,10.67,52.95,52.95,3,3
43,40.924,44.376,0,0,4,3
44,49.107,49.107,0,0,4,3
45,42.42,63.62,0,0,3,3
46,38.329,44.951,0,0,4,3
47,42.272,50.27,0,0,4,3
48,46.172,55.104,0,0,4,3
49,63.617,63.62,0,0,3,4
50,63.617,63.617,0,0,3,4
51,63.617,63.617,0,0,3,4
52,49.63,63.62,0,0,4,3
53,45.608,63.62,0,0,4,3
54,0.67,0.67,27.8,46.596,0,0
55,0.72,0.72,12.704,42.408,0,0
56,0.68,0.68,10.448,26.903,0,0
57,58.629,59.672,0,0,4,4
58,63.62,63.62,0,0,4,5
59,63.62,63.62,0,0,3,4
60,63.62,63.62,0,0,5,5
61,63.62,63.62,0,0,4,5
62,63.62,63.62,0,0,4,5
63,63.62,63.62,0,0,5,5
64,7.005,7.005,0,0,1,1
65,3.177,3.177,0,0,1,1
66,14.214,24.187,15.678,15.678,5,5
67,14.51,17.108,16.27,56.615,5,5
68,16.347,28.973,24.374,60.443,5,5
69,10.605,60.733,8.331,0,5,4
70,24.116,24.116,0,0,3,3
71,0.714,0.714,0,0,0,0
72,0.746,0.746,5.513,26.208,0,0
73,0.738,0.738,0,0,0,0
74,0.774,0.744,0,0,0,0
75,47.922,48.452,0,4.729,4,2
76,27.834,46.31,0,11.934,4,2
77,39.518,55.601,0,10.342,4,2
78,41.66,55.237,0,0,4,2
79,44.616,44.616,0,0,4,2
80,38.039,44.223,0,0,4,2
81,37.857,50.131,0,0,4,2
82,50.365,52.655,0,7.054,4,2
83,0.839,0.839,0,0,0,0
84,0.708,0.708,0,0,0,0
85,0.785,0.785,0,0,0,0
86,0.755,0.755,13.81,40.014,0,0
87,0.708,0.708,0,0,0,0
88,4.318,41.529,0,0,5,5
89,7.263,54.795,0,0,5,5
90,5.115,46.054,0,0,5,5
91,5.642,27.131,0,0,5,5
92,4.4,37.633,0,0,5,5
93,2.422,2.524,63.62,63.62,5,5
94,1.894,1.92,63.62,63.62,5,4
95,2.272,17.191,0,0,5,5
96,0.64,0.64,63.62,63.62,0,0
97,12.678,49.377,0,14.243,5,5
98,13.462,63.62,0,0,5,5
99,15.08,49.666,0,13.954,5,5
100,0.743,0.743,63.62,63.62,0,0
101,0.708,0.708,0,0,0,0
102,0.699,0.699,0,0,0,0
103,4.554,37.527,0,0,5,5
104,6.797,51.408,0,0,5,5
105,2.283,25.423,0,0,5,5
106,0.716,0.716,0,0,0,0
107,0.7,0.7,6.783,8.743,0,0
108,0.664,0.664,14.884,43.92,0,0
109,63.617,63.617,0,0,4,3
110,63.617,63.617,0,21.199,3,3
111,63.617,63.617,0,0,3,3
112,63.617,63.617,0,0,3,3
113,63.617,63.617,0,0,4,4
114,63.617,63.617,0,0,3,3
115,63.617,63.617,0,0,3,3
116,63.617,63.617,0,6.435,3,3
117,0.691,0.691,0,0,0,0
118,0.64,0.64,0,21.353,0,0
119,0.664,0.664,0,0,0,0
120,0.775,0.775,63.617,63.617,0,0
121,0.816,0.816,63.617,63.617,0,0
122,0.791,0.791,0.31,9.435,0,0
123,0.796,0.796,5.451,18.316,0,0
124,0.744,0.744,0,0,0,0
125,0.8,0.8,2.796,4.226,0,0
126,4.819,13.058,0,0,5,5
127,0.696,0.696,9.78,32.361,0,0
128,0.744,0.744,63.617,63.617,0,0
129,0.731,0.731,0,1.157,0,0
130,0.723,0.723,5.297,5.297,0,0
131,0.704,0.74,12.519,12.519,0,0
132,0.743,0.743,0,0,0,0
133,0.774,0.774,6.781,7.591,0,0
134,0.773,0.773,0,0,0,0
135,0.763,0.763,63.617,63.617,0,0
136,0.768,0.768,63.617,63.617,0,0
137,0.777,0.777,0,0,0,0
138,0.67,0.67,63.617,63.617,0,0
139,0.743,0.743,2.647,23.568,0,0
140,0.678,0.678,63.617,63.617,0,0
141,0.77,0.77,0,0,0,0
142,0.67,0.67,0,0,0,0
143,0.63,0.63,0.426,11.952,0,0
144,9.584,59.4,0,0,5,5
145,1.243,1.324,62.374,62.293,5,4
146,2.269,37.207,0,0,5,5
147,2.32,2.32,61.297,61.297,5,5
148,5.176,6.243,58.441,57.374,5,4
149,6.439,63.617,0,0,5,5
150,6.736,54.717,7.582,0,5,5
151,7.966,63.617,0,0,5,5
152,5.249,58.903,0,0,5,5
153,6.276,NA,0,NA,5,NA
154,6.54,63.617,0,0,5,5
155,7.309,63.617,5.624,0,5,5
156,8.932,59.099,0,0,5,5
157,8.073,60.604,0,0,5,5
158,10.11,63.617,4.47,0,5,5
159,16.154,63.617,9.996,0,5,5
160,13.632,57.957,0,5.66,5,5
161,13.145,55.328,6.466,3.77099999999999,5,4
162,14.181,63.617,0,0,5,5
163,14.577,63.617,0,0,5,5
164,13.931,63.617,0,0,5,5
165,1.25,1.25,63.617,63.617,0,0
166,0.671,0.671,0,0,0,0
167,0.69,0.69,0,0,0,0
168,0.769,0.769,0,0,0,0
169,0.739,0.739,63.617,63.617,0,0
170,0.7,0.7,6.899,32.677,0,0
171,0.723,0.723,0,2.245,0,0
172,0.721,0.721,0,0,0,0
173,0.74,0.74,0,0,0,0
