id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,id_bact,date.x,sample_weight,dilution_ecoli,ecoli_counted,dilution_enterococcus,enterococcus_counted,...9,id_picture,date.y,area_size,macro_description,contamination,comments,collection_date_1,collection_date_2,total-weight,ph,water_content,sample_weight_1,sample_weight_2,sample_weight_3,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted_1,e_coli_counted_2,e_coli_counted_3,enterococcus_counted_1,enterococcus_counted_2,enterococcus_counted_3,species,material,material_2,mass,production_date,forming_date
1,1,1,2025-05-08T00:00:00Z,25.7,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,NA,NA
2,1,1,2025-05-08T00:00:00Z,27.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,NA,NA
3,1,1,2025-05-08T00:00:00Z,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,NA,NA
4,2,1,2025-05-08T00:00:00Z,23.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,wood chips,oatbran 10%,NA,NA,NA
5,3,1,2025-05-08T00:00:00Z,26.569999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,C. comatus,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,1,2025-05-14T00:00:00Z,0.2500000000000002,100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,2,2025-05-14T00:00:00Z,0.23,100,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,3,2025-05-14T00:00:00Z,0.31999999999999984,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,7,2025-05-19T00:00:00Z,0.15,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,8,2025-05-19T00:00:00Z,0.21,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,9,2025-05-19T00:00:00Z,0.29,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
7,4,1,2025-05-08T00:00:00Z,26.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
8,4,1,2025-05-08T00:00:00Z,26.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA,NA,4,2025-05-14T00:00:00Z,0.2200000000000002,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA,NA,5,2025-05-14T00:00:00Z,0.13000000000000012,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA,NA,6,2025-05-14T00:00:00Z,0.15000000000000036,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA,NA,10,2025-05-19T00:00:00Z,0.19,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA,NA,11,2025-05-19T00:00:00Z,0.21,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
9,6,1,2025-05-08T00:00:00Z,26.74,NA,NA,NA,12,2025-05-19T00:00:00Z,0.16,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
10,7,2,2025-07-09T00:00:00Z,20.92,NA,NA,NA,13,2025-07-22T00:00:00Z,0.71,1000000,94,NA,NA,NA,7,2025-07-09T00:00:00Z,0.64,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
10,7,2,2025-07-09T00:00:00Z,20.92,NA,NA,NA,13,2025-07-22T00:00:00Z,0.71,1000000,94,NA,NA,NA,8,2025-07-16T00:00:00Z,16.402,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
10,7,2,2025-07-09T00:00:00Z,20.92,NA,NA,NA,13,2025-07-22T00:00:00Z,0.71,1000000,94,NA,NA,NA,9,2025-07-23T00:00:00Z,21.902,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
11,7,2,2025-07-09T00:00:00Z,21.47,NA,NA,NA,14,2025-07-22T00:00:00Z,0.62,2000000,75,NA,NA,NA,1,2025-07-09T00:00:00Z,0.634,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
11,7,2,2025-07-09T00:00:00Z,21.47,NA,NA,NA,14,2025-07-22T00:00:00Z,0.62,2000000,75,NA,NA,NA,2,2025-07-16T00:00:00Z,16.04,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
11,7,2,2025-07-09T00:00:00Z,21.47,NA,NA,NA,14,2025-07-22T00:00:00Z,0.62,2000000,75,NA,NA,NA,3,2025-07-23T00:00:00Z,20.912,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
12,7,2,2025-07-09T00:00:00Z,21.85,NA,NA,NA,15,2025-07-22T00:00:00Z,0.85,1000000,91,NA,NA,NA,4,2025-07-09T00:00:00Z,0.633,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
12,7,2,2025-07-09T00:00:00Z,21.85,NA,NA,NA,15,2025-07-22T00:00:00Z,0.85,1000000,91,NA,NA,NA,5,2025-07-16T00:00:00Z,13,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
12,7,2,2025-07-09T00:00:00Z,21.85,NA,NA,NA,15,2025-07-22T00:00:00Z,0.85,1000000,91,NA,NA,NA,6,2025-07-23T00:00:00Z,17.2,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
13,8,2,2025-07-09T00:00:00Z,20.139999999999997,NA,NA,NA,16,2025-07-22T00:00:00Z,0.54,100000,39,NA,NA,NA,10,2025-07-09T00:00:00Z,0.695,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
13,8,2,2025-07-09T00:00:00Z,20.139999999999997,NA,NA,NA,16,2025-07-22T00:00:00Z,0.54,100000,39,NA,NA,NA,11,2025-07-16T00:00:00Z,36.566,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
13,8,2,2025-07-09T00:00:00Z,20.139999999999997,NA,NA,NA,16,2025-07-22T00:00:00Z,0.54,100000,39,NA,NA,NA,12,2025-07-23T00:00:00Z,47.514,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
14,8,2,2025-07-09T00:00:00Z,20.95,NA,NA,NA,17,2025-07-22T00:00:00Z,1.08,100000,170,NA,NA,185185185.18518516,13,2025-07-09T00:00:00Z,0.641,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
14,8,2,2025-07-09T00:00:00Z,20.95,NA,NA,NA,17,2025-07-22T00:00:00Z,1.08,100000,170,NA,NA,185185185.18518516,14,2025-07-16T00:00:00Z,48.35,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
14,8,2,2025-07-09T00:00:00Z,20.95,NA,NA,NA,17,2025-07-22T00:00:00Z,1.08,100000,170,NA,NA,185185185.18518516,15,2025-07-23T00:00:00Z,52.25,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
15,8,2,2025-07-09T00:00:00Z,21.59,NA,NA,NA,18,2025-07-22T00:00:00Z,0.98,1000000,75,NA,NA,NA,16,2025-07-09T00:00:00Z,0.642,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
15,8,2,2025-07-09T00:00:00Z,21.59,NA,NA,NA,18,2025-07-22T00:00:00Z,0.98,1000000,75,NA,NA,NA,17,2025-07-16T00:00:00Z,39.99,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
15,8,2,2025-07-09T00:00:00Z,21.59,NA,NA,NA,18,2025-07-22T00:00:00Z,0.98,1000000,75,NA,NA,NA,18,2025-07-23T00:00:00Z,45.52,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
16,9,2,2025-07-09T00:00:00Z,21.790000000000003,NA,NA,NA,19,2025-07-22T00:00:00Z,1.08,5000,16,NA,NA,74074.07407407407,19,2025-07-09T00:00:00Z,0.653,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
16,9,2,2025-07-09T00:00:00Z,21.790000000000003,NA,NA,NA,19,2025-07-22T00:00:00Z,1.08,5000,16,NA,NA,74074.07407407407,20,2025-07-16T00:00:00Z,0.653,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
16,9,2,2025-07-09T00:00:00Z,21.790000000000003,NA,NA,NA,19,2025-07-22T00:00:00Z,1.08,5000,16,NA,NA,74074.07407407407,21,2025-07-23T00:00:00Z,0.653,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
17,9,2,2025-07-09T00:00:00Z,21.02,NA,NA,NA,20,2025-07-22T00:00:00Z,1.45,5000,0,NA,NA,NA,22,2025-07-09T00:00:00Z,0.7,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
17,9,2,2025-07-09T00:00:00Z,21.02,NA,NA,NA,20,2025-07-22T00:00:00Z,1.45,5000,0,NA,NA,NA,23,2025-07-16T00:00:00Z,0.7,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
17,9,2,2025-07-09T00:00:00Z,21.02,NA,NA,NA,20,2025-07-22T00:00:00Z,1.45,5000,0,NA,NA,NA,24,2025-07-23T00:00:00Z,0.7,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
18,9,2,2025-07-09T00:00:00Z,22.209999999999997,NA,NA,NA,21,2025-07-22T00:00:00Z,1.38,50,21,NA,NA,NA,25,2025-07-09T00:00:00Z,0.711,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
18,9,2,2025-07-09T00:00:00Z,22.209999999999997,NA,NA,NA,21,2025-07-22T00:00:00Z,1.38,50,21,NA,NA,NA,26,2025-07-16T00:00:00Z,0.711,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
18,9,2,2025-07-09T00:00:00Z,22.209999999999997,NA,NA,NA,21,2025-07-22T00:00:00Z,1.38,50,21,NA,NA,NA,27,2025-07-23T00:00:00Z,0.711,NA,NA,NA,2025-07-08T00:00:00Z,NA,283,NA,77,0.66,1.15,0.69,50000,NA,109,145,100,NA,NA,NA,ctrl agar without,MEA,none,NA,NA,NA
19,10,3,2025-07-10T00:00:00Z,22.209999999999997,NA,NA,NA,22,2025-07-23T00:00:00Z,0.57,2000000,85,NA,NA,NA,28,2025-07-10T00:00:00Z,0.653,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
19,10,3,2025-07-10T00:00:00Z,22.209999999999997,NA,NA,NA,22,2025-07-23T00:00:00Z,0.57,2000000,85,NA,NA,NA,29,2025-07-17T00:00:00Z,23.688,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
19,10,3,2025-07-10T00:00:00Z,22.209999999999997,NA,NA,NA,22,2025-07-23T00:00:00Z,0.57,2000000,85,NA,NA,NA,30,2025-07-24T00:00:00Z,42.45,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA,NA,23,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA,NA,31,2025-07-10T00:00:00Z,0.691,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA,NA,23,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA,NA,32,2025-07-17T00:00:00Z,22.323,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
20,10,3,2025-07-10T00:00:00Z,21.709999999999997,NA,NA,NA,23,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA,NA,33,2025-07-24T00:00:00Z,43.969,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA,NA,24,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA,NA,34,2025-07-10T00:00:00Z,0.821,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA,NA,24,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA,NA,35,2025-07-17T00:00:00Z,24.723,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
21,10,3,2025-07-10T00:00:00Z,21.94,NA,NA,NA,24,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA,NA,36,2025-07-24T00:00:00Z,43.687,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Faecal isolate 1,MEA,none,NA,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA,NA,25,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA,NA,37,2025-07-10T00:00:00Z,0.745,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA,NA,25,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA,NA,38,2025-07-17T00:00:00Z,29.194,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
22,11,3,2025-07-10T00:00:00Z,21.74,NA,NA,NA,25,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA,NA,39,2025-07-24T00:00:00Z,59.747,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA,NA,26,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA,NA,40,2025-07-10T00:00:00Z,0.648,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA,NA,26,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA,NA,41,2025-07-17T00:00:00Z,33.704,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
23,11,3,2025-07-10T00:00:00Z,21.05,NA,NA,NA,26,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA,NA,42,2025-07-24T00:00:00Z,60.544,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
24,11,3,2025-07-10T00:00:00Z,21.55,NA,NA,NA,27,2025-07-23T00:00:00Z,1.06,2000000,106,NA,NA,NA,43,2025-07-10T00:00:00Z,0.755,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
24,11,3,2025-07-10T00:00:00Z,21.55,NA,NA,NA,27,2025-07-23T00:00:00Z,1.06,2000000,106,NA,NA,NA,44,2025-07-17T00:00:00Z,30.47,NA,NA,NA,2025-07-09T00:00:00Z,NA,308,NA,84,0.68,0.75,0.74,50000,NA,187,191,200,NA,NA,NA,Mucor spp I3,MEA,none,NA,NA,NA
